Landing page,Month,Date,Hour,Sessions
/alopecia,1,2023-01-04,12,131
/alopecia,1,2023-01-04,13,94
/alopecia,1,2023-01-04,14,108
/alopecia,1,2023-01-04,15,137
/alopecia,1,2023-01-04,16,149
/alopecia,1,2023-01-04,17,160
/alopecia,1,2023-01-04,18,139
/alopecia,1,2023-01-04,19,153
/alopecia,1,2023-01-04,20,176
/alopecia,1,2023-01-04,21,146
/alopecia,1,2023-01-04,22,228
/alopecia,1,2023-01-04,23,291
/alopecia,1,2023-01-05,0,144
/alopecia,1,2023-01-05,1,93
/alopecia,1,2023-01-05,2,58
/alopecia,1,2023-01-05,3,33
/alopecia,1,2023-01-05,4,30
/alopecia,1,2023-01-05,5,27
/alopecia,1,2023-01-05,6,46
/alopecia,1,2023-01-05,7,84
/alopecia,1,2023-01-05,8,99
/alopecia,1,2023-01-05,9,111
/alopecia,1,2023-01-05,10,102
/alopecia,1,2023-01-05,11,81
/alopecia,1,2023-01-05,12,95
/alopecia,1,2023-01-05,13,90
/alopecia,1,2023-01-05,14,131
/alopecia,1,2023-01-05,15,140
/alopecia,1,2023-01-05,16,121
/alopecia,1,2023-01-05,17,131
/alopecia,1,2023-01-05,18,123
/alopecia,1,2023-01-05,19,172
/alopecia,1,2023-01-05,20,168
/alopecia,1,2023-01-05,21,131
/alopecia,1,2023-01-05,22,181
/alopecia,1,2023-01-05,23,205
/alopecia,1,2023-01-06,0,200
/alopecia,1,2023-01-06,1,141
/alopecia,1,2023-01-06,2,70
/alopecia,1,2023-01-06,3,35
/alopecia,1,2023-01-06,4,24
/alopecia,1,2023-01-06,5,30
/alopecia,1,2023-01-06,6,37
/alopecia,1,2023-01-06,7,66
/alopecia,1,2023-01-06,8,83
/alopecia,1,2023-01-06,9,100
/alopecia,1,2023-01-06,10,130
/alopecia,1,2023-01-06,11,138
/alopecia,1,2023-01-06,12,130
/alopecia,1,2023-01-06,13,139
/alopecia,1,2023-01-06,14,169
/alopecia,1,2023-01-06,15,161
/alopecia,1,2023-01-06,16,159
/alopecia,1,2023-01-06,17,134
/alopecia,1,2023-01-06,18,135
/alopecia,1,2023-01-06,19,157
/alopecia,1,2023-01-06,20,132
/alopecia,1,2023-01-06,21,134
/alopecia,1,2023-01-06,22,196
/alopecia,1,2023-01-06,23,244
/alopecia,1,2023-01-07,0,118
/alopecia,1,2023-01-07,1,121
/alopecia,1,2023-01-07,2,67
/alopecia,1,2023-01-07,3,48
/alopecia,1,2023-01-07,4,26
/alopecia,1,2023-01-07,5,21
/alopecia,1,2023-01-07,6,44
/alopecia,1,2023-01-07,7,62
/alopecia,1,2023-01-07,8,92
/alopecia,1,2023-01-07,9,117
/alopecia,1,2023-01-07,10,151
/alopecia,1,2023-01-07,11,123
/alopecia,1,2023-01-07,12,124
/alopecia,1,2023-01-07,13,119
/alopecia,1,2023-01-07,14,123
/alopecia,1,2023-01-07,15,126
/alopecia,1,2023-01-07,16,139
/alopecia,1,2023-01-07,17,122
/alopecia,1,2023-01-07,18,129
/alopecia,1,2023-01-07,19,160
/alopecia,1,2023-01-07,20,188
/alopecia,1,2023-01-07,21,223
/alopecia,1,2023-01-07,22,277
/alopecia,1,2023-01-07,23,231
/alopecia,1,2023-01-08,0,127
/alopecia,1,2023-01-08,1,102
/alopecia,1,2023-01-08,2,78
/alopecia,1,2023-01-08,3,35
/alopecia,1,2023-01-08,4,36
/alopecia,1,2023-01-08,5,46
/alopecia,1,2023-01-08,6,58
/alopecia,1,2023-01-08,7,99
/alopecia,1,2023-01-08,8,108
/alopecia,1,2023-01-08,9,87
/alopecia,1,2023-01-08,10,119
/alopecia,1,2023-01-08,11,90
/alopecia,1,2023-01-08,12,100
/alopecia,1,2023-01-08,13,106
/alopecia,1,2023-01-08,14,141
/alopecia,1,2023-01-08,15,163
/alopecia,1,2023-01-08,16,140
/alopecia,1,2023-01-08,17,143
/alopecia,1,2023-01-08,18,150
/alopecia,1,2023-01-08,19,160
/alopecia,1,2023-01-08,20,165
/alopecia,1,2023-01-08,21,220
/alopecia,1,2023-01-08,22,275
/alopecia,1,2023-01-08,23,183
/alopecia,1,2023-01-09,0,135
/alopecia,1,2023-01-09,1,69
/alopecia,1,2023-01-09,2,46
/alopecia,1,2023-01-09,3,36
/alopecia,1,2023-01-09,4,26
/alopecia,1,2023-01-09,5,43
/alopecia,1,2023-01-09,6,57
/alopecia,1,2023-01-09,7,88
/alopecia,1,2023-01-09,8,126
/alopecia,1,2023-01-09,9,114
/alopecia,1,2023-01-09,10,103
/alopecia,1,2023-01-09,11,104
/alopecia,1,2023-01-09,12,113
/alopecia,1,2023-01-09,13,92
/alopecia,1,2023-01-09,14,81
/alopecia,1,2023-01-09,15,105
/alopecia,1,2023-01-09,16,108
/alopecia,1,2023-01-09,17,92
/alopecia,1,2023-01-09,18,98
/alopecia,1,2023-01-09,19,95
/alopecia,1,2023-01-09,20,47
/alopecia,1,2023-01-09,21,90
/alopecia,1,2023-01-09,22,230
/alopecia,1,2023-01-09,23,101
/alopecia,1,2023-01-10,0,84
/alopecia,1,2023-01-10,1,56
/alopecia,1,2023-01-10,2,28
/alopecia,1,2023-01-10,3,22
/alopecia,1,2023-01-10,4,21
/alopecia,1,2023-01-10,5,18
/alopecia,1,2023-01-10,6,35
/alopecia,1,2023-01-10,7,66
/alopecia,1,2023-01-10,8,66
/alopecia,1,2023-01-10,9,75
/alopecia,1,2023-01-10,10,64
/alopecia,1,2023-01-10,11,92
/alopecia,1,2023-01-10,12,75
/alopecia,1,2023-01-10,13,69
/alopecia,1,2023-01-10,14,70
/alopecia,1,2023-01-10,15,89
/alopecia,1,2023-01-10,16,77
/alopecia,1,2023-01-10,17,81
/alopecia,1,2023-01-10,18,117
/alopecia,1,2023-01-10,19,104
/alopecia,1,2023-01-10,20,108
/alopecia,1,2023-01-10,21,101
/alopecia,1,2023-01-10,22,159
/alopecia,1,2023-01-10,23,138
/alopecia,1,2023-01-11,0,92
/alopecia,1,2023-01-11,1,57
/alopecia,1,2023-01-11,2,28
/alopecia,1,2023-01-11,3,16
/alopecia,1,2023-01-11,4,19
/alopecia,1,2023-01-11,5,26
/alopecia,1,2023-01-11,6,29
/alopecia,1,2023-01-11,7,59
/alopecia,1,2023-01-11,8,62
/alopecia,1,2023-01-11,9,89
/alopecia,1,2023-01-11,10,83
/alopecia,1,2023-01-11,11,69
/alopecia,1,2023-01-11,12,67
/alopecia,1,2023-01-11,13,93
/alopecia,1,2023-01-11,14,108
/alopecia,1,2023-01-11,15,101
/alopecia,1,2023-01-11,16,88
/alopecia,1,2023-01-11,17,87
/alopecia,1,2023-01-11,18,106
/alopecia,1,2023-01-11,19,120
/alopecia,1,2023-01-11,20,121
/alopecia,1,2023-01-11,21,124
/alopecia,1,2023-01-11,22,164
/alopecia,1,2023-01-11,23,145
/alopecia,1,2023-01-12,0,105
/alopecia,1,2023-01-12,1,74
/alopecia,1,2023-01-12,2,36
/alopecia,1,2023-01-12,3,17
/alopecia,1,2023-01-12,4,14
/alopecia,1,2023-01-12,5,16
/alopecia,1,2023-01-12,6,44
/alopecia,1,2023-01-12,7,92
/alopecia,1,2023-01-12,8,87
/alopecia,1,2023-01-12,9,98
/alopecia,1,2023-01-12,10,65
/alopecia,1,2023-01-12,11,75
/alopecia,1,2023-01-12,12,84
/alopecia,1,2023-01-12,13,84
/alopecia,1,2023-01-12,14,88
/alopecia,1,2023-01-12,15,101
/alopecia,1,2023-01-12,16,115
/alopecia,1,2023-01-12,17,109
/alopecia,1,2023-01-12,18,106
/alopecia,1,2023-01-12,19,127
/alopecia,1,2023-01-12,20,122
/alopecia,1,2023-01-12,21,148
/alopecia,1,2023-01-12,22,218
/alopecia,1,2023-01-12,23,174
/alopecia,1,2023-01-13,0,106
/alopecia,1,2023-01-13,1,103
/alopecia,1,2023-01-13,2,47
/alopecia,1,2023-01-13,3,37
/alopecia,1,2023-01-13,4,34
/alopecia,1,2023-01-13,5,35
/alopecia,1,2023-01-13,6,43
/alopecia,1,2023-01-13,7,64
/alopecia,1,2023-01-13,8,89
/alopecia,1,2023-01-13,9,91
/alopecia,1,2023-01-13,10,86
/alopecia,1,2023-01-13,11,81
/alopecia,1,2023-01-13,12,88
/alopecia,1,2023-01-13,13,75
/alopecia,1,2023-01-13,14,113
/alopecia,1,2023-01-13,15,113
/alopecia,1,2023-01-13,16,112
/alopecia,1,2023-01-13,17,126
/alopecia,1,2023-01-13,18,127
/alopecia,1,2023-01-13,19,123
/alopecia,1,2023-01-13,20,129
/alopecia,1,2023-01-13,21,134
/alopecia,1,2023-01-13,22,152
/alopecia,1,2023-01-13,23,185
/alopecia,1,2023-01-14,0,133
/alopecia,1,2023-01-14,1,80
/alopecia,1,2023-01-14,2,60
/alopecia,1,2023-01-14,3,44
/alopecia,1,2023-01-14,4,26
/alopecia,1,2023-01-14,5,30
/alopecia,1,2023-01-14,6,35
/alopecia,1,2023-01-14,7,80
/alopecia,1,2023-01-14,8,120
/alopecia,1,2023-01-14,9,120
/alopecia,1,2023-01-14,10,122
/alopecia,1,2023-01-14,11,102
/alopecia,1,2023-01-14,12,126
/alopecia,1,2023-01-14,13,119
/alopecia,1,2023-01-14,14,96
/alopecia,1,2023-01-14,15,88
/alopecia,1,2023-01-14,16,120
/alopecia,1,2023-01-14,17,116
/alopecia,1,2023-01-14,18,111
/alopecia,1,2023-01-14,19,131
/alopecia,1,2023-01-14,20,148
/alopecia,1,2023-01-14,21,164
/alopecia,1,2023-01-14,22,216
/alopecia,1,2023-01-14,23,200
/alopecia,1,2023-01-15,0,114
/alopecia,1,2023-01-15,1,62
/alopecia,1,2023-01-15,2,54
/alopecia,1,2023-01-15,3,27
/alopecia,1,2023-01-15,4,22
/alopecia,1,2023-01-15,5,32
/alopecia,1,2023-01-15,6,54
/alopecia,1,2023-01-15,7,76
/alopecia,1,2023-01-15,8,100
/alopecia,1,2023-01-15,9,92
/alopecia,1,2023-01-15,10,87
/alopecia,1,2023-01-15,11,117
/alopecia,1,2023-01-15,12,132
/alopecia,1,2023-01-15,13,147
/alopecia,1,2023-01-15,14,118
/alopecia,1,2023-01-15,15,138
/alopecia,1,2023-01-15,16,130
/alopecia,1,2023-01-15,17,145
/alopecia,1,2023-01-15,18,127
/alopecia,1,2023-01-15,19,137
/alopecia,1,2023-01-15,20,141
/alopecia,1,2023-01-15,21,142
/alopecia,1,2023-01-15,22,217
/alopecia,1,2023-01-15,23,236
/alopecia,1,2023-01-16,0,125
/alopecia,1,2023-01-16,1,73
/alopecia,1,2023-01-16,2,40
/alopecia,1,2023-01-16,3,25
/alopecia,1,2023-01-16,4,18
/alopecia,1,2023-01-16,5,30
/alopecia,1,2023-01-16,6,69
/alopecia,1,2023-01-16,7,85
/alopecia,1,2023-01-16,8,98
/alopecia,1,2023-01-16,9,89
/alopecia,1,2023-01-16,10,94
/alopecia,1,2023-01-16,11,101
/alopecia,1,2023-01-16,12,102
/alopecia,1,2023-01-16,13,96
/alopecia,1,2023-01-16,14,127
/alopecia,1,2023-01-16,15,122
/alopecia,1,2023-01-16,16,146
/alopecia,1,2023-01-16,17,125
/alopecia,1,2023-01-16,18,153
/alopecia,1,2023-01-16,19,165
/alopecia,1,2023-01-16,20,142
/alopecia,1,2023-01-16,21,192
/alopecia,1,2023-01-16,22,252
/alopecia,1,2023-01-16,23,203
/alopecia,1,2023-01-17,0,103
/alopecia,1,2023-01-17,1,83
/alopecia,1,2023-01-17,2,55
/alopecia,1,2023-01-17,3,40
/alopecia,1,2023-01-17,4,25
/alopecia,1,2023-01-17,5,41
/alopecia,1,2023-01-17,6,58
/alopecia,1,2023-01-17,7,78
/alopecia,1,2023-01-17,8,100
/alopecia,1,2023-01-17,9,109
/alopecia,1,2023-01-17,10,118
/alopecia,1,2023-01-17,11,126
/alopecia,1,2023-01-17,12,117
/alopecia,1,2023-01-17,13,124
/alopecia,1,2023-01-17,14,136
/alopecia,1,2023-01-17,15,129
/alopecia,1,2023-01-17,16,147
/alopecia,1,2023-01-17,17,118
/alopecia,1,2023-01-17,18,134
/alopecia,1,2023-01-17,19,148
/alopecia,1,2023-01-17,20,151
/alopecia,1,2023-01-17,21,173
/alopecia,1,2023-01-17,22,253
/alopecia,1,2023-01-17,23,199
/alopecia,1,2023-01-18,0,129
/alopecia,1,2023-01-18,1,89
/alopecia,1,2023-01-18,2,42
/alopecia,1,2023-01-18,3,31
/alopecia,1,2023-01-18,4,32
/alopecia,1,2023-01-18,5,27
/alopecia,1,2023-01-18,6,59
/alopecia,1,2023-01-18,7,86
/alopecia,1,2023-01-18,8,103
/alopecia,1,2023-01-18,9,85
/alopecia,1,2023-01-18,10,90
/alopecia,1,2023-01-18,11,86
/alopecia,1,2023-01-18,12,85
/alopecia,1,2023-01-18,13,105
/alopecia,1,2023-01-18,14,157
/alopecia,1,2023-01-18,15,130
/alopecia,1,2023-01-18,16,126
/alopecia,1,2023-01-18,17,152
/alopecia,1,2023-01-18,18,151
/alopecia,1,2023-01-18,19,153
/alopecia,1,2023-01-18,20,149
/alopecia,1,2023-01-18,21,190
/alopecia,1,2023-01-18,22,202
/alopecia,1,2023-01-18,23,229
/alopecia,1,2023-01-19,0,123
/alopecia,1,2023-01-19,1,79
/alopecia,1,2023-01-19,2,39
/alopecia,1,2023-01-19,3,30
/alopecia,1,2023-01-19,4,27
/alopecia,1,2023-01-19,5,31
/alopecia,1,2023-01-19,6,58
/alopecia,1,2023-01-19,7,90
/alopecia,1,2023-01-19,8,99
/alopecia,1,2023-01-19,9,112
/alopecia,1,2023-01-19,10,84
/alopecia,1,2023-01-19,11,88
/alopecia,1,2023-01-19,12,89
/alopecia,1,2023-01-19,13,113
/alopecia,1,2023-01-19,14,124
/alopecia,1,2023-01-19,15,117
/alopecia,1,2023-01-19,16,112
/alopecia,1,2023-01-19,17,140
/alopecia,1,2023-01-19,18,122
/alopecia,1,2023-01-19,19,119
/alopecia,1,2023-01-19,20,162
/alopecia,1,2023-01-19,21,169
/alopecia,1,2023-01-19,22,225
/alopecia,1,2023-01-19,23,205
/alopecia,1,2023-01-20,0,140
/alopecia,1,2023-01-20,1,109
/alopecia,1,2023-01-20,2,68
/alopecia,1,2023-01-20,3,39
/alopecia,1,2023-01-20,4,30
/alopecia,1,2023-01-20,5,32
/alopecia,1,2023-01-20,6,61
/alopecia,1,2023-01-20,7,92
/alopecia,1,2023-01-20,8,144
/alopecia,1,2023-01-20,9,120
/alopecia,1,2023-01-20,10,127
/alopecia,1,2023-01-20,11,138
/alopecia,1,2023-01-20,12,121
/alopecia,1,2023-01-20,13,123
/alopecia,1,2023-01-20,14,140
/alopecia,1,2023-01-20,15,108
/alopecia,1,2023-01-20,16,101
/alopecia,1,2023-01-20,17,133
/alopecia,1,2023-01-20,18,131
/alopecia,1,2023-01-20,19,145
/alopecia,1,2023-01-20,20,118
/alopecia,1,2023-01-20,21,133
/alopecia,1,2023-01-20,22,152
/alopecia,1,2023-01-20,23,214
/alopecia,1,2023-01-21,0,144
/alopecia,1,2023-01-21,1,109
/alopecia,1,2023-01-21,2,73
/alopecia,1,2023-01-21,3,53
/alopecia,1,2023-01-21,4,41
/alopecia,1,2023-01-21,5,42
/alopecia,1,2023-01-21,6,55
/alopecia,1,2023-01-21,7,58
/alopecia,1,2023-01-21,8,109
/alopecia,1,2023-01-21,9,133
/alopecia,1,2023-01-21,10,121
/alopecia,1,2023-01-21,11,121
/alopecia,1,2023-01-21,12,120
/alopecia,1,2023-01-21,13,139
/alopecia,1,2023-01-21,14,146
/alopecia,1,2023-01-21,15,147
/alopecia,1,2023-01-21,16,147
/alopecia,1,2023-01-21,17,136
/alopecia,1,2023-01-21,18,143
/alopecia,1,2023-01-21,19,146
/alopecia,1,2023-01-21,20,135
/alopecia,1,2023-01-21,21,204
/alopecia,1,2023-01-21,22,247
/alopecia,1,2023-01-21,23,190
/alopecia,1,2023-01-22,0,89
/alopecia,1,2023-01-22,1,58
/alopecia,1,2023-01-22,2,49
/alopecia,1,2023-01-22,3,15
/alopecia,1,2023-01-22,4,27
/alopecia,1,2023-01-22,5,33
/alopecia,1,2023-01-22,6,66
/alopecia,1,2023-01-22,7,93
/alopecia,1,2023-01-22,8,118
/alopecia,1,2023-01-22,9,117
/alopecia,1,2023-01-22,10,134
/alopecia,1,2023-01-22,11,114
/alopecia,1,2023-01-22,12,97
/alopecia,1,2023-01-22,13,109
/alopecia,1,2023-01-22,14,143
/alopecia,1,2023-01-22,15,139
/alopecia,1,2023-01-22,16,141
/alopecia,1,2023-01-22,17,149
/alopecia,1,2023-01-22,18,138
/alopecia,1,2023-01-22,19,135
/alopecia,1,2023-01-22,20,180
/alopecia,1,2023-01-22,21,152
/alopecia,1,2023-01-22,22,185
/alopecia,1,2023-01-22,23,224
/alopecia,1,2023-01-23,0,123
/alopecia,1,2023-01-23,1,73
/alopecia,1,2023-01-23,2,50
/alopecia,1,2023-01-23,3,30
/alopecia,1,2023-01-23,4,17
/alopecia,1,2023-01-23,5,15
/alopecia,1,2023-01-23,6,50
/alopecia,1,2023-01-23,7,85
/alopecia,1,2023-01-23,8,89
/alopecia,1,2023-01-23,9,98
/alopecia,1,2023-01-23,10,97
/alopecia,1,2023-01-23,11,113
/alopecia,1,2023-01-23,12,121
/alopecia,1,2023-01-23,13,137
/alopecia,1,2023-01-23,14,141
/alopecia,1,2023-01-23,15,131
/alopecia,1,2023-01-23,16,138
/alopecia,1,2023-01-23,17,157
/alopecia,1,2023-01-23,18,131
/alopecia,1,2023-01-23,19,150
/alopecia,1,2023-01-23,20,166
/alopecia,1,2023-01-23,21,155
/alopecia,1,2023-01-23,22,194
/alopecia,1,2023-01-23,23,187
/alopecia,1,2023-01-24,0,102
/alopecia,1,2023-01-24,1,89
/alopecia,1,2023-01-24,2,46
/alopecia,1,2023-01-24,3,30
/alopecia,1,2023-01-24,4,24
/alopecia,1,2023-01-24,5,19
/alopecia,1,2023-01-24,6,80
/alopecia,1,2023-01-24,7,106
/alopecia,1,2023-01-24,8,104
/alopecia,1,2023-01-24,9,110
/alopecia,1,2023-01-24,10,112
/alopecia,1,2023-01-24,11,100
/alopecia,1,2023-01-24,12,92
/alopecia,1,2023-01-24,13,136
/alopecia,1,2023-01-24,14,121
/alopecia,1,2023-01-24,15,138
/alopecia,1,2023-01-24,16,164
/alopecia,1,2023-01-24,17,134
/alopecia,1,2023-01-24,18,151
/alopecia,1,2023-01-24,19,137
/alopecia,1,2023-01-24,20,165
/alopecia,1,2023-01-24,21,176
/alopecia,1,2023-01-24,22,245
/alopecia,1,2023-01-24,23,207
/alopecia,1,2023-01-25,0,106
/alopecia,1,2023-01-25,1,80
/alopecia,1,2023-01-25,2,32
/alopecia,1,2023-01-25,3,24
/alopecia,1,2023-01-25,4,12
/alopecia,1,2023-01-25,5,16
/alopecia,1,2023-01-25,6,59
/alopecia,1,2023-01-25,7,89
/alopecia,1,2023-01-25,8,78
/alopecia,1,2023-01-25,9,85
/alopecia,1,2023-01-25,10,96
/alopecia,1,2023-01-25,11,78
/alopecia,1,2023-01-25,12,96
/alopecia,1,2023-01-25,13,118
/alopecia,1,2023-01-25,14,160
/alopecia,1,2023-01-25,15,133
/alopecia,1,2023-01-25,16,150
/alopecia,1,2023-01-25,17,119
/alopecia,1,2023-01-25,18,117
/alopecia,1,2023-01-25,19,136
/alopecia,1,2023-01-25,20,138
/alopecia,1,2023-01-25,21,141
/alopecia,1,2023-01-25,22,189
/alopecia,1,2023-01-25,23,152
/alopecia,1,2023-01-26,0,107
/alopecia,1,2023-01-26,1,69
/alopecia,1,2023-01-26,2,40
/alopecia,1,2023-01-26,3,27
/alopecia,1,2023-01-26,4,23
/alopecia,1,2023-01-26,5,24
/alopecia,1,2023-01-26,6,45
/alopecia,1,2023-01-26,7,74
/alopecia,1,2023-01-26,8,102
/alopecia,1,2023-01-26,9,102
/alopecia,1,2023-01-26,10,93
/alopecia,1,2023-01-26,11,87
/alopecia,1,2023-01-26,12,74
/alopecia,1,2023-01-26,13,75
/alopecia,1,2023-01-26,14,81
/alopecia,1,2023-01-26,15,73
/alopecia,1,2023-01-26,16,69
/alopecia,1,2023-01-26,17,101
/alopecia,1,2023-01-26,18,99
/alopecia,1,2023-01-26,19,85
/alopecia,1,2023-01-26,20,98
/alopecia,1,2023-01-26,21,101
/alopecia,1,2023-01-26,22,176
/alopecia,1,2023-01-26,23,159
/alopecia,1,2023-01-27,0,75
/alopecia,1,2023-01-27,1,80
/alopecia,1,2023-01-27,2,50
/alopecia,1,2023-01-27,3,30
/alopecia,1,2023-01-27,4,24
/alopecia,1,2023-01-27,5,24
/alopecia,1,2023-01-27,6,29
/alopecia,1,2023-01-27,7,68
/alopecia,1,2023-01-27,8,74
/alopecia,1,2023-01-27,9,83
/alopecia,1,2023-01-27,10,89
/alopecia,1,2023-01-27,11,96
/alopecia,1,2023-01-27,12,85
/alopecia,1,2023-01-27,13,97
/alopecia,1,2023-01-27,14,76
/alopecia,1,2023-01-27,15,104
/alopecia,1,2023-01-27,16,80
/alopecia,1,2023-01-27,17,129
/alopecia,1,2023-01-27,18,102
/alopecia,1,2023-01-27,19,98
/alopecia,1,2023-01-27,20,91
/alopecia,1,2023-01-27,21,83
/alopecia,1,2023-01-27,22,123
/alopecia,1,2023-01-27,23,177
/alopecia,1,2023-01-28,0,113
/alopecia,1,2023-01-28,1,75
/alopecia,1,2023-01-28,2,49
/alopecia,1,2023-01-28,3,36
/alopecia,1,2023-01-28,4,35
/alopecia,1,2023-01-28,5,28
/alopecia,1,2023-01-28,6,32
/alopecia,1,2023-01-28,7,67
/alopecia,1,2023-01-28,8,78
/alopecia,1,2023-01-28,9,107
/alopecia,1,2023-01-28,10,111
/alopecia,1,2023-01-28,11,105
/alopecia,1,2023-01-28,12,121
/alopecia,1,2023-01-28,13,93
/alopecia,1,2023-01-28,14,115
/alopecia,1,2023-01-28,15,115
/alopecia,1,2023-01-28,16,136
/alopecia,1,2023-01-28,17,104
/alopecia,1,2023-01-28,18,98
/alopecia,1,2023-01-28,19,109
/alopecia,1,2023-01-28,20,116
/alopecia,1,2023-01-28,21,127
/alopecia,1,2023-01-28,22,160
/alopecia,1,2023-01-28,23,146
/alopecia,1,2023-01-29,0,101
/alopecia,1,2023-01-29,1,64
/alopecia,1,2023-01-29,2,41
/alopecia,1,2023-01-29,3,17
/alopecia,1,2023-01-29,4,24
/alopecia,1,2023-01-29,5,24
/alopecia,1,2023-01-29,6,44
/alopecia,1,2023-01-29,7,66
/alopecia,1,2023-01-29,8,95
/alopecia,1,2023-01-29,9,85
/alopecia,1,2023-01-29,10,90
/alopecia,1,2023-01-29,11,67
/alopecia,1,2023-01-29,12,79
/alopecia,1,2023-01-29,13,91
/alopecia,1,2023-01-29,14,101
/alopecia,1,2023-01-29,15,77
/alopecia,1,2023-01-29,16,84
/alopecia,1,2023-01-29,17,126
/alopecia,1,2023-01-29,18,113
/alopecia,1,2023-01-29,19,124
/alopecia,1,2023-01-29,20,115
/alopecia,1,2023-01-29,21,140
/alopecia,1,2023-01-29,22,189
/alopecia,1,2023-01-29,23,139
/alopecia,1,2023-01-30,0,75
/alopecia,1,2023-01-30,1,50
/alopecia,1,2023-01-30,2,27
/alopecia,1,2023-01-30,3,14
/alopecia,1,2023-01-30,4,19
/alopecia,1,2023-01-30,5,18
/alopecia,1,2023-01-30,6,38
/alopecia,1,2023-01-30,7,55
/alopecia,1,2023-01-30,8,66
/alopecia,1,2023-01-30,9,69
/alopecia,1,2023-01-30,10,84
/alopecia,1,2023-01-30,11,59
/alopecia,1,2023-01-30,12,80
/alopecia,1,2023-01-30,13,89
/alopecia,1,2023-01-30,14,84
/alopecia,1,2023-01-30,15,102
/alopecia,1,2023-01-30,16,116
/alopecia,1,2023-01-30,17,106
/alopecia,1,2023-01-30,18,103
/alopecia,1,2023-01-30,19,98
/alopecia,1,2023-01-30,20,113
/alopecia,1,2023-01-30,21,128
/alopecia,1,2023-01-30,22,180
/alopecia,1,2023-01-30,23,139
/alopecia,1,2023-01-31,0,80
/alopecia,1,2023-01-31,1,54
/alopecia,1,2023-01-31,2,21
/alopecia,1,2023-01-31,3,17
/alopecia,1,2023-01-31,4,15
/alopecia,1,2023-01-31,5,26
/alopecia,1,2023-01-31,6,51
/alopecia,1,2023-01-31,7,57
/alopecia,1,2023-01-31,8,76
/alopecia,1,2023-01-31,9,62
/alopecia,1,2023-01-31,10,72
/alopecia,1,2023-01-31,11,65
/alopecia,1,2023-01-31,12,62
/alopecia,1,2023-01-31,13,72
